video_id,date_made,date_made_title_only,year_reliable,date_str,window_lower,window_upper,delta_bin,lexicon_hits,matched_phrases,tokens,c_i,contact_related,outcome,reframe_flag,claim
0htF1V0v6ec,,2026,False,2025-2033,2025,2033,,3,current energy;most probable;window,13,0.23076923076923078,True,unresolved (prospective),True,Open extraterrestrial contact most probable within this window based on current energy reading
0htF1V0v6ec,,2026,False,2050,2050,2050,,1,timeline,10,0.1,True,unresolved (prospective),True,Absolute latest boundary for open contact if timeline stretches further
0htF1V0v6ec,,2026,False,Late June (year per title 2026; likely actually 2016),2016,2026,,0,,10,0.0,True,unresolved (prospective),True,First theatrical showing of 'First Contact' documentary in Los Angeles
2GVhU6BRVWY,2026,2026,True,,,,,0,,16,0.0,True,retrospective/unscored,False,2026 is described as 'the year of disclosure' Secrets and files are emerging to the surface
2GVhU6BRVWY,2026,2026,True,,,,,0,,16,0.0,True,retrospective/unscored,False,Open contact followed by 2-3 decades of absorption Humanity needs 20-30 years post-contact to absorb changes
2GVhU6BRVWY,2026,2026,True,,,,,0,,19,0.0,False,retrospective/unscored,False,2050 referenced as endpoint of three-decade resetting period (2020-2050) New generations adapted to ET presence will lead by then
2GVhU6BRVWY,2026,2026,True,,,,,0,,16,0.0,True,retrospective/unscored,False,Pentagon will release significantly more files and evidence before open contact Gradual disclosure conditions public belief
4NGd9kqWM04,2026,2026,True,2026,2026,2026,<1y,0,,11,0.0,True,unresolved (prospective),False,Open contact framed in the video title as beginning in 2026
4NGd9kqWM04,2026,2026,True,decades ahead,,,,1,timeline,9,0.1111111111111111,False,retrospective/unscored,False,Timeline for humanity joining galactic federation as full members
5Js8U9sJ5-8,,,False,2027,2027,2027,,2,timeline;window,14,0.14285714285714285,True,unresolved (prospective),True,Implied timeline for open ET contact window through increased UFO sightings over next decade
5Js8U9sJ5-8,,,False,2075,2075,2075,,2,approximately;timeline,15,0.13333333333333333,False,unresolved (prospective),True,Approximately 50 years from now; timeline for collective Earth experience of harmony and synchronized memories
5Js8U9sJ5-8,,,False,2008,2008,2008,,0,,9,0.0,False,unresolved (prospective),True,Year a questioner had abduction experience aboard a ship
5Js8U9sJ5-8,,,False,2011,2011,2011,,0,,13,0.0,True,unresolved (prospective),True,October 2011; CE-5 protocol ET contact attempt with ship sightings and strange events
7WjydoNj7hE,2018,2018,True,1984,1984,1984,post-deadline,0,,12,0.0,True,retrospective/unscored,False,Darryl Anka's first contact with Bashar during meditation class in Los Angeles
7WjydoNj7hE,2018,2018,True,2016,2016,2016,post-deadline,0,,12,0.0,False,retrospective/unscored,False,Bashar predicted 'everything would change in the fall' regarding US political trajectory
7WjydoNj7hE,2018,2018,True,3000 years ahead,,,,1,approximately,11,0.09090909090909091,False,retrospective/unscored,False,"Essassani civilization is approximately 3,000 years evolved beyond current Earth civilization"
7WjydoNj7hE,2018,2018,True,1000 years,,,,0,,14,0.0,False,retrospective/unscored,False,"Estimate that Earth could reach Essassani development level in roughly 1,000 years with acceleration"
94agFEADfyk,2026,2026,True,"April 27, 2026",2026,2026,<1y,0,,7,0.0,False,unresolved (prospective),False,Session date of this transmission (per title)
94agFEADfyk,2026,2026,True,couple of decades,,,,1,timeline,10,0.1,False,retrospective/unscored,False,Timeline for spirit realm interaction to become common among humans
94agFEADfyk,2026,2026,True,after open contact,,,,2,frequency;vibrational,10,0.2,False,retrospective/unscored,False,When ET high frequency exposure will accelerate human vibrational raising
94agFEADfyk,2026,2026,True,next couple of years,,,,1,approximate,6,0.16666666666666666,True,retrospective/unscored,False,Approximate timing of open contact disclosure
94agFEADfyk,2026,2026,True,80-100 years,,,,0,,7,0.0,False,retrospective/unscored,False,Average time between soul reincarnations on Earth
9FrwPg8FYvM,2025,2025,True,Late 2026 - early 2027,2026,2027,1-5y,1,timeline,13,0.07692307692307693,True,unresolved (prospective),False,Originally suggested timeline for major contact event or catalyst; now revised to 2028-2029.
9FrwPg8FYvM,2025,2025,True,2028-2029,2028,2029,1-5y,2,probable;window,13,0.15384615384615385,True,unresolved (prospective),False,Revised probable window for first major public contact/disclosure event based on collective responses.
9FrwPg8FYvM,2025,2025,True,2033,2033,2033,5-10y,2,frequency;shift,17,0.11764705882352941,False,unresolved (prospective),False,Predicted as 'sea change' year (33/333 double gate); massive directional shift in humanity's frequency and evolution path.
9FrwPg8FYvM,2025,2025,True,2050,2050,2050,>10y,0,,14,0.0,True,unresolved (prospective),False,"By this year, humanity's merged integration with galactic family will be significantly underway post-contact."
9FrwPg8FYvM,2025,2025,True,Next 5 years,,,,1,window,15,0.06666666666666667,True,retrospective/unscored,False,Overall window given for open contact; subject to collective readiness demonstrated through dialogue and unity.
9Ij2AEoRwoM,2027,2027,True,2027,2027,2027,<1y,0,,11,0.0,True,unresolved (prospective),False,Public disclosure of decades-long secret ET collaboration with governments and scientists
BaN26a0SbLQ,2025,2025,True,2026,2026,2026,1-5y,0,,8,0.0,True,unresolved (prospective),False,Year of disclosure; humanity transitioning toward open contact
D8El0NsIF04,2024,2024,True,within five years from transmission,,,,0,,3,0.0,True,retrospective/unscored,False,Extraterrestrial contact timeframe
D8El0NsIF04,2024,2024,True,"late 2026, early 2027",2026,2027,1-5y,1,possible,6,0.16666666666666666,True,unresolved (prospective),False,Possible major event beginning contact process
DvWNnqnBAjc,2026,2026,True,2020-2050,2020,2050,<1y,0,,17,0.0,False,unresolved (prospective),False,30-year reset period for humanity; after 2050 humans will be on different trajectory toward Interstellar Alliance membership
DvWNnqnBAjc,2026,2026,True,"Next 5 years (from May 2026, so by 2031)",2026,2031,<1y,0,,12,0.0,True,unresolved (prospective),False,Open contact will begin to occur with slow introductions to extraterrestrial species
DvWNnqnBAjc,2026,2026,True,2050,2050,2050,>10y,0,,12,0.0,False,unresolved (prospective),False,Humanity transitions to full-fledged Interstellar Alliance member status; new evolutionary phase begins
DvWNnqnBAjc,2026,2026,True,Decades ahead,,,,0,,16,0.0,False,retrospective/unscored,False,"Economy transforms to digital currency, then eventually transcends artificial exchange via synchronicity and proportional resource distribution"
Dw9XHTMrgBE,2025,2025,True,"September 24, 2025",2025,2025,<1y,0,,11,0.0,False,unresolved (prospective),False,Uploader title date; described as 'last morning' of a workshop series
Dw9XHTMrgBE,2025,2025,True,700 years in future,,,,1,timeline,9,0.1111111111111111,False,retrospective/unscored,False,Willa's timeline; Essassani society fully integrated sixth hybrid race
Dw9XHTMrgBE,2025,2025,True,Fall 2016,2016,2016,post-deadline,2,probability;shift,9,0.2222222222222222,False,retrospective/unscored,False,Major probability threshold where everything changed; high-momentum shift occurred
Dw9XHTMrgBE,2025,2025,True,49 days post-conception,,,,0,,4,0.0,False,retrospective/unscored,False,Soul/consciousness enters developing fetus
Dw9XHTMrgBE,2025,2025,True,Age 7,,,,0,,6,0.0,False,retrospective/unscored,False,Consciousness crystallization solidifies in human development
ETuHIzyRhyY,2025,2025,True,2027,2027,2027,1-5y,0,,14,0.0,True,unresolved (prospective),False,Open contact revelation: disclosure of decades-long human-ET collaboration; extraterrestrials among us become publicly known
ETuHIzyRhyY,2025,2025,True,2050,2050,2050,>10y,0,,18,0.0,False,unresolved (prospective),False,End of three-decade reset (2020-2050); humanity operates on fundamentally new consciousness and technological level; new generation running world
ETuHIzyRhyY,2025,2025,True,within century,,,,1,likely,12,0.08333333333333333,False,retrospective/unscored,False,"Human teleportation technology (beam up/beam down) likely operational, currently classified military research"
E_cPno64Z-Q,,,False,"12,800 years ago",,,,0,,10,0.0,False,retrospective/unscored,True,Final destruction of Atlantis via cometary strike in Atlantic Ocean.
E_cPno64Z-Q,,,False,"20,000-30,000 years ago",,,,0,,4,0.0,False,retrospective/unscored,True,Prime/height of Atlantean civilization.
E_cPno64Z-Q,,,False,"50,000 years ago",,,,1,approximate,6,0.16666666666666666,False,retrospective/unscored,True,Approximate beginning of first Atlantean phase.
E_cPno64Z-Q,,,False,"65,000 years ago",,,,0,,8,0.0,False,retrospective/unscored,True,First distinct Atlantean civilization began (per Lazaris reference).
E_cPno64Z-Q,,,False,1 million+ years ago,,,,0,,7,0.0,False,retrospective/unscored,True,Martian furrows created by extraterrestrial mining activity.
Fp1YFz-8d4Y,,,False,2023–2033,2023,2033,,1,window,6,0.16666666666666666,True,unresolved (prospective),True,Open contact window for extraterrestrial contact
Fp1YFz-8d4Y,,,False,2026–2027,2026,2027,,1,potential,12,0.08333333333333333,True,unresolved (prospective),True,90% potential for major contact event in late 2026 or early 2027
Fp1YFz-8d4Y,,,False,2033–2040,2033,2040,,0,,10,0.0,True,unresolved (prospective),True,Other markers and levels of contact occurring between these years
Fp1YFz-8d4Y,,,False,2037,2037,2037,,0,,7,0.0,True,unresolved (prospective),True,Public contact timeframe mentioned in previous transmissions
HoYNcoMTk-4,2025,2025,True,1947,1947,1947,post-deadline,0,,9,0.0,False,retrospective/unscored,False,Roswell incident marks beginning of 40-year UFO awareness cycle
HoYNcoMTk-4,2025,2025,True,1987,1987,1987,post-deadline,0,,12,0.0,True,retrospective/unscored,False,"Harmonic Convergence, 40 years after Roswell; humanity was close to contact then"
