topic,weighted_pct,unweighted_pct,recordings_at_10pct_or_more,recordings_present
"Beliefs, emotions & fear",12.3,13.0,51,74
Follow your excitement / The Formula,10.0,8.5,31,62
"ET contact, disclosure & 2027",8.8,11.0,34,56
Physical mind vs higher mind,7.2,8.8,17,70
Parallel realities & shifting,7.0,7.7,20,63
"Essassani, hybrids & other civilizations",6.4,7.2,16,62
Permission slips & tools,5.0,4.9,7,60
"Consciousness, oversoul & higher self",4.8,5.8,8,67
"Earth's shift, timelines & ascension",4.6,4.3,7,59
"Spirituality, God, love & service",4.5,3.5,2,53
"Energy, frequency & dimensions",4.3,3.8,2,61
Practical life guidance (misc),4.3,3.2,3,53
"Synchronicity, dreams & meditation",3.8,2.7,3,51
"Time, simultaneity & reincarnation",3.3,3.5,4,55
Channeling mechanics & Darryl,2.7,2.3,3,52
"Relationships, family & sexuality",2.5,1.9,1,46
"Abundance, money & career",2.4,2.7,6,47
"Health, body, healing & death",2.3,1.9,3,50
"Politics, society, economy & AI",1.9,1.9,3,46
"Ancient history: Atlantis, Orion, Sirius",1.9,1.3,1,39
